amp_fraction	amp_consistency	period_consistency	monotonicity	period	time_peak	time_trough	volt_peak	volt_trough	time_decay	time_rise	volt_decay	volt_rise	volt_amp	time_rdsym	time_ptsym	band_amp	sample_peak	sample_last_zerox_decay	sample_zerox_decay	sample_zerox_rise	sample_last_trough	sample_next_trough	is_burst
0.5919658622719247			0.8956043956043955	294	129	129	0.5130077397841346	-0.4647571856149701	112	182	2.664987580070446	0.9777649253991048	1.8213762527347752	0.6190476190476191	0.5	0.5370090304999169	320	116	374	245	138	432	False
0.8772807533843437	0.3707140426784657	0.38095238095238093	1.0	112	54	93	2.042614451670324	-2.1519798402863115	44	68	1.5549950073672607	4.194594291956635	2.874794649661948	0.6071428571428571	0.3673469387755102	1.3954637092533215	500	374	521	467	432	544	False
0.398175397292525	0.011050275505670996	0.9411764705882353	1.0	112	51	45	1.8153424895204398	0.48761944430306353	66	46	1.3759607505053075	1.3277230452173763	1.351841897861342	0.4107142857142857	0.53125	0.44746936107779767	590	521	617	566	544	656	False
0.42672160094173045	0.005418121862749785	0.6722689075630253	1.0	119	69	46	0.45458648439320565	0.43938173901513217	104	15	2.8062760054564047	0.015204745378073481	1.4107403754172392	0.12605042016806722	0.6	0.6495708812305345	671	617	732	663	656	775	False
0.07004120070629782	0.016350231826660473	0.6299212598425197	1.0	80	42	71	-1.2964270521576653	-2.351689521063199	19	61	0.05672506699910107	1.0552624689055339	0.5559937679523175	0.7625	0.37168141592920356	0.3592413413752416	836	732	845	803	775	855	False
0.8085638610947616	0.016350231826660473	0.6299212598425197	1.0	127	58	53	2.1162217466379634	-1.3531521191567664	50	77	1.6569088598656403	3.4693738657947297	2.563141362830185	0.6062992125984252	0.5225225225225225	0.9818203490994978	932	845	956	898	855	982	False
0.6236021188934667	0.5418177411069895	0.8642857142857143	1.0	121	62	50	1.802549235359059	0.459312886772323	70	51	2.4791295055092983	1.343236348586736	1.9111829270480172	0.4214876033057851	0.5535714285714286	0.8547811842443447	1033	956	1068	1006	982	1103	True
0.6748087110064744	0.5871352602467698	0.8642857142857143	1.0	140	78	63	0.8631821370776498	-0.6765802701502391	78	62	2.62250031888859	1.5397624072278888	2.0811313630582395	0.44285714285714284	0.5531914893617021	1.1541282403487603	1165	1068	1209	1131	1103	1243	True
0.7689817539729252	0.5668122707934016	0.8642857142857143	1.0	121	58	64	1.3062923806448357	-1.7593181818109398	60	61	1.7376256842737952	3.0656105624557757	2.4016181233647855	0.5041322314049587	0.47540983606557374	1.2077720560858087	1304	1209	1331	1273	1243	1364	True
0.26780459093584463	0.6055946184050325	0.9173553719008265	1.0	111	55	62	0.6209634595696131	-0.4313333036289595	53	58	1.0946182252338232	1.0522967631985725	1.0734574942161978	0.5225225225225225	0.4700854700854701	0.5385640861567439	1422	1331	1448	1393	1364	1475	True
