amp_fraction	amp_consistency	period_consistency	monotonicity	period	time_peak	time_trough	volt_peak	volt_trough	time_decay	time_rise	volt_decay	volt_rise	volt_amp	time_rdsym	time_ptsym	band_amp	sample_peak	sample_last_zerox_decay	sample_zerox_decay	sample_zerox_rise	sample_last_trough	sample_next_trough	is_burst	time	group
0.868711834835708			1.0	193	96	66	1.8594785831460978	-0.5550513302670443	77	116	2.4314755631684446	2.4145299134131424	2.4230027382907933	0.6010362694300518	0.5925925925925926	0.7268077493751804	237	121	283	187	121	314	False	Post	Bystander
0.6727246292526897	0.4716139904331397	0.5142857142857142	0.8781512605042017	175	118	58	1.5636230134839335	-0.5719969800223469	119	56	1.3969152232691289	2.1356199935062805	1.7662676083877047	0.32	0.6704545454545454	0.6144877025768866	370	283	459	341	314	489	False	Post	Bystander
0.13397790055248618	0.19291202137276972	0.5142857142857142	1.0	90	45	51	0.8255125529575587	0.16670779021480453	47	43	0.7329648259533403	0.6588047627427541	0.6958847943480473	0.4777777777777778	0.46875	0.340469276856967	532	459	555	510	489	579	False	Post	Bystander
0.27057284094213435	0.07963507872409166	0.8454545454545455	0.9482758620689655	93	48	40	0.23394545317401758	0.09254772700421833	64	29	1.7755708719733176	0.14139772616979923	0.9584842990715584	0.3118279569892473	0.5454545454545454	0.5300917694316907	608	555	643	595	579	672	False	Post	Bystander
0.8586071532422216	0.6439906586689672	0.6285714285714286	1.0	110	54	55	0.5632243830345434	-1.5416254187993002	57	53	2.644497508126091	2.1048498018338435	2.374673654979967	0.4818181818181818	0.4954128440366973	1.2161772212260888	725	643	752	698	672	782	False	Post	Bystander
0.45093050305321314	0.21131084129706934	0.6285714285714286	1.0	175	114	56	-0.37824143298498364	-2.0812731250915473	113	62	0.8752652319027803	1.7030316921065636	1.2891484620046718	0.35428571428571426	0.6705882352941176	0.8141975295093288	844	752	922	808	782	957	False	Post	Bystander
0.9844431520790927	0.16971301425433488	0.9485714285714286	1.0	166	73	74	2.8885677621989982	-1.253506664887764	92	74	3.163443819137008	4.142074427086762	3.652759123111885	0.4457831325301205	0.4965986394557823	1.379228535991841	1031	922	1069	996	957	1123	False	Post	Bystander
0.47499273044489676	0.16971301425433488	0.9879518072289156	0.9227642276422765	164	56	75	0.2620015290319767	-0.27487605693800987	123	41	2.1330111971996786	0.5368775859699866	1.3349443915848327	0.25	0.42748091603053434	0.6945596750492568	1164	1069	1200	1144	1123	1287	False	Post	Bystander
0.9884414073858679	0.29840069152451937	0.6686746987951807	1.0	166	87	125	2.5467669906072974	-1.871009668167702	88	78	3.2630202815917255	4.417776658774999	3.840398470183362	0.46987951807228917	0.41037735849056606	1.4145721834631348	1365	1200	1412	1325	1287	1453	True	Post	Bystander
0.5399825530677522	0.29840069152451937	0.5235849056603774	1.0	111	52	62	0.25743421750107487	-0.716253290984428	68	43	1.9469223559058244	0.9736875084855029	1.4603049321956636	0.38738738738738737	0.45614035087719296	0.8597669329002569	1496	1412	1526	1474	1453	1564	True	Post	Bystander
0.9636522244838616	0.43970567899678	0.5141509433962265	1.0	212	83	120	2.427993185768978	-1.6894881384047495	87	125	2.304543047315235	4.117481324173728	3.2110121857444813	0.589622641509434	0.4088669950738916	1.045836974834808	1689	1526	1729	1646	1564	1776	True	Post	Bystander
0.6039546379761559	0.43970567899678	0.45228215767634855	1.0	109	53	72	1.1367708038507967	0.12345013845374268	60	49	2.1969923549697103	1.013320665397054	1.6051565101833822	0.44954128440366975	0.424	0.8141581475582764	1825	1729	1854	1801	1776	1885	True	Post	Bystander
0.4924396626926432	0.485880027339902	0.27385892116182575	0.9486486486486487	241	176	55	0.007253154379324574	-1.060221551118914	185	56	1.6655605781429574	1.0674747054982385	1.366517641820598	0.23236514522821577	0.7619047619047619	0.3568356064157209	1941	1854	2085	1909	1885	2126	False	Post	Bystander
0.1427013666763594	0.0	0.27385892116182575	0.5	66	34	73	-0.22203272827908405	-1.6583074237636328	1	65	-0.00472687310777789	1.4362746954845487	0.7157739111883854	0.9848484848484849	0.3177570093457944	0.35172715942749	2191	2085	2192	2158	2126	2192	False	Post	Bystander
0.7582145972666473	0.0	0.3283582089552239	1.0	201	75	53	1.6778547817050546	-0.21730585517130616	115	86	2.1179592709376434	1.8951606368763607	2.006559953907002	0.42786069651741293	0.5859375	0.5002940072718323	2278	2192	2320	2245	2192	2393	False	Post	Bystander
0.8784530386740331	0.36878480371999484	0.4222222222222222	1.0	225	82	184	1.944849188616545	-0.44010448923258855	66	159	2.5876108308429546	2.3849536778491336	2.486282254346044	0.7066666666666667	0.3082706766917293	0.5893886451309446	2552	2320	2586	2504	2393	2618	True	Post	Bystander
0.4214161093341088	0.36878480371999484	0.4222222222222222	1.0	95	47	52	0.3115099101297421	-0.6427616422264096	53	42	1.5150282267171737	0.9542715523561518	1.2346498895366627	0.4421052631578947	0.47474747474747475	0.6489248687345139	2660	2586	2685	2638	2618	2713	True	Post	Bystander
0.9480226810119221	0.34813407503488064	0.46116504854368934	1.0	206	76	66	1.5074639491900426	-1.2035183165874317	130	76	3.2894383247889274	2.7109822657774743	3.0002102952832006	0.36893203883495146	0.5352112676056338	0.9634871441104667	2789	2685	2827	2751	2713	2919	True	Post	Bystander
0.11420471067170689	0.07617600475700811	0.6990291262135923	0.8974358974358974	144	97	125	-0.6368088070142044	-1.7819743755988848	39	105	0.1529675509179499	1.1451655685846804	0.6490665597513152	0.7291666666666666	0.4369369369369369	0.4551460775566362	3024	2827	3049	2952	2919	3063	False	Post	Bystander
0.7439662692643211	0.07617600475700811	0.5535714285714286	1.0	168	81	47	1.218304157787949	-0.7897763579321543	103	65	1.9195791991886735	2.008080515720103	1.9638298574543884	0.3869047619047619	0.6328125	0.6878339676587818	3128	3049	3177	3096	3063	3231	False	Post	Bystander
0.5507414946205292	0.4778434736703978	0.5535714285714286	1.0	93	46	80	1.025446029440948	-0.7012750414007245	42	51	1.2359211057418795	1.7267210708416725	1.481321088291776	0.5483870967741935	0.36507936507936506	0.6072460044655476	3282	3177	3303	3257	3231	3324	True	Post	Bystander
0.9297760977028205	0.4778434736703978	0.6739130434782609	1.0	138	74	50	2.375980894832371	-0.2104750763009315	75	63	3.040345082731176	2.5864559711333026	2.8134005269322393	0.45652173913043476	0.5967741935483871	1.3245581647912288	3387	3303	3427	3353	3324	3462	True	Post	Bystander
0.9307211398662402	0.6868476616488414	0.6242424242424243	1.0	165	103	62	1.631606656214772	-0.6643641878988049	108	57	3.342765757696381	2.295970844113577	2.819368300904979	0.34545454545454546	0.6242424242424243	1.1648953704632015	3519	3427	3592	3489	3462	3627	True	Post	Bystander
0.8413056120965396	0.19185415311537005	0.6242424242424243	1.0	103	50	60	1.0855081974837828	-1.711159101481609	51	52	1.816860987839001	2.796667298965392	2.306764143402196	0.5048543689320388	0.45454545454545453	1.1337496491453718	3679	3592	3702	3652	3627	3730	False	Post	Bystander
0.10497237569060773	0.19185415311537005	0.5297619047619048	1.0	89	43	43	-0.3827804642050119	-0.731352790355218	57	32	0.9084565577172417	0.34857232615020617	0.6285144419337239	0.3595505617977528	0.5	0.25019084706936634	3762	3702	3788	3745	3730	3819	False	Post	Bystander
0.04667054376272172	0.15550539889014212	0.5297619047619048	0.8401639344262295	168	47	130	-0.9417517884373163	-1.2912370219222535	46	122	0.5570660544101886	0.3494852334849372	0.4532756439475629	0.7261904761904762	0.2655367231638418	0.34975467552054723	3941	3788	3965	3918	3819	3987	False	Post	Bystander
0.9808083745274789	0.15550539889014212	0.8217821782178217	1.0	202	89	101	2.083476137850438	-1.498817842847505	65	137	3.5094088388413627	3.582293980697943	3.5458514097696527	0.6782178217821783	0.46842105263157896	0.9634172361688415	4124	3965	4155	4066	3987	4189	False	Post	Bystander
0.6992585053794708	0.32378300185883513	0.6506024096385542	1.0	166	104	74	1.3525610066687215	-1.4259327009909248	45	121	0.899629033311925	2.7784937076596465	1.8390613704857857	0.7289156626506024	0.5842696629213483	0.7304038066808584	4310	4155	4333	4229	4189	4355	True	Post	Bystander
0.49643791799941844	0.6686528418266965	0.6428571428571429	1.0	108	52	47	1.7106283811260068	0.45293197335679647	58	50	1.489512136742254	1.2576964077692103	1.373604272255732	0.46296296296296297	0.5252525252525253	0.5690376283493153	4405	4333	4432	4380	4355	4463	True	Post	Bystander
0.8945187554521663	0.2401378399438429	0.6428571428571429	1.0	168	80	83	1.2170827675518159	0.22111624438375294	75	93	4.147478479030932	0.995966523168063	2.5717225010994973	0.5535714285714286	0.49079754601226994	1.287822457294419	4556	4432	4595	4515	4463	4631	True	Post	Bystander
0.9668508287292817	0.48667482104717114	0.6382978723404256	1.0	188	102	75	1.465265177452633	-2.9303957114791164	98	90	2.139257476504908	4.395660888931749	3.2674591827183286	0.4787234042553192	0.576271186440678	1.4170493610768553	4721	4595	4772	4670	4631	4819	True	Post	Bystander
0.7383687118348357	0.5198067308242923	0.6382978723404256	1.0	120	58	80	1.3640597912990047	-0.6739922990522749	57	63	1.85734971374726	2.0380520903512798	1.94770090204927	0.525	0.42028985507246375	1.0199617009659008	4882	4772	4910	4852	4819	4939	True	Post	Bystander
0.2681738877580692	0.0	0.8	1.0	96	50	51	0.47217296025214295	-0.4932899224482555	49	47	0.9430912441581885	0.9654628827003984	0.9542770634292934	0.4895833333333333	0.49504950495049505	0.4323803848718614	4986	4910	5011	4961	4939	5035	False	Post	Bystander
0.16799941843559174	0.0	0.4885844748858447	0.5	107	61	25	-0.4801898086744547	-0.47091828390604556	106	1	1.558772726956417	-0.009271524768409145	0.774750601094004	0.009345794392523364	0.7093023255813954	0.33158905761634466	5036	5011	5097	5036	5035	5142	False	Post	Bystander
0.28489386449549287	0.03713829057508304	0.4885844748858447	1.0	219	138	108	-0.13674945954483475	-2.038962535630872	36	183	0.0706449419554058	1.9022130760860372	0.9864290090207215	0.8356164383561644	0.5609756097560976	0.28527275721834794	5325	5097	5343	5205	5142	5361	False	Post	Bystander
0.5573567897644665	0.04850954155069254	0.9095238095238095	0.907258064516129	210	131	66	1.2489158355606835	-0.20739440150024055	124	86	1.5360450835986357	1.456310237060924	1.4961776603297798	0.4095238095238095	0.6649746192893401	0.49835477249159876	5447	5343	5540	5409	5361	5571	False	Post	Bystander
