byallosniffing,,128.53,131.01,2.48
byallosniffing,,146.85,148.03,1.18
byallosniffing,,173.245,178.67,5.425
byallosniffing,,181.692,182.538,0.846
byallosniffing,,192.01,194,1.99
byallosniffing,,204.121,205.794,1.673
byallosniffing,,238.705,240.154,1.449
byallosniffing,,243.595,244.713,1.118
byallosniffing,,255.67,262.4,6.73
byallosniffing,,269.884,272.413,2.529
byallosniffing,,277.356,280.409,3.053
byallosniffing,,283.312,285.841,2.529
byallosniffing,,291.269,293.423,2.154
byallosniffing,,304,309.543,5.543
byallosniffing,,325.5,330.421,4.921
byallosniffing,,338.1,339.94,1.84
byallosniffing,,357.764,360.228,2.464
byallosniffing,,363.117,364.5,1.383
byallosniffing,,369.508,372.385,2.877
byallosniffing,,377.894,383.859,5.965
byallosniffing,,396.1,403.3,7.2
byallosniffing,,416.2,424.4,8.2
byallosniffing,,451.999,452.609,0.61
byallosniffing,,464.073,465.536,1.463
byallosniffing,,470.317,480.3,9.983
byallosniffing,,505.276,506.292,1.016
byallosniffing,,513.222,525.97,12.748
byallosniffing,,528.6,530.5,1.9
byallosniffing,,574.636,576.09,1.454
byallosniffing,,581.5,586.045,4.545
byallosniffing,,619.682,621.485,1.803
byallosniffing,,625.59,629.045,3.455
byallosniffing,,637.926,642.024,4.098
byallosniffing,,653.487,654.707,1.22
byallosniffing,,673.318,681.409,8.091
byallosniffing,,706.463,708.512,2.049
byallosniffing,,785.226,789.2,3.974
byallosniffing,,820.928,821.621,0.693
byallosniffing,,826.545,829.681,3.136
byallosniffing,,849.619,851.15,1.531
byallosniffing,,865.239,868.141,2.902
byallosniffing,,868.413,880.23,11.817
byallosniffing,,888.8,890.2,1.4
byallosniffing,,892.9,895,2.1
byallolicking,,315.615,315.997,0.382
bywalking,,1.148,3.1,1.952
bywalking,,15.21,17.09,1.88
bywalking,,24.102,26.67,2.568
bywalking,,28.299,30.02,1.721
bywalking,,48.624,58.22,9.596
bywalking,,60.38,61.85,1.47
bywalking,,77.302,83.25,5.948
bywalking,,93.05,102.56,9.51
bywalking,,105.48,109.87,4.39
bywalking,,111.62,114.05,2.43
bywalking,,116.178,118.4,2.222
bywalking,,138.54,140.86,2.32
bywalking,,146.432,161.3,14.868
bywalking,,163.057,173.93,10.873
bywalking,,184.07,186.507,2.437
bywalking,,192.743,197.6,4.857
bywalking,,204.613,206.44,1.827
bywalking,,209.39,213.72,4.33
bywalking,,243.356,246.93,3.574
bywalking,,249.3,250.27,0.97
bywalking,,254.13,258.41,4.28
bywalking,,260.97,262.93,1.96
bywalking,,265.71,267.26,1.55
bywalking,,283.82,287.14,3.32
bywalking,,292.648,298.22,5.572
bywalking,,300.61,304.79,4.18
bywalking,,308.2,317.42,9.22
bywalking,,344.653,347.42,2.767
bywalking,,364.54,366.45,1.91
bywalking,,368.619,377.94,9.321
bywalking,,384.044,384.69,0.646
bywalking,,389.177,391.43,2.253
bywalking,,400.68,403.75,3.07
bywalking,,416.04,417,0.96
bywalking,,432.04,434.605,2.565
bywalking,,439.86,442.3,2.44
bywalking,,449.41,453.97,4.56
bywalking,,474.977,476.86,1.883
bywalking,,506.39,513.99,7.6
bywalking,,522.98,530.75,7.77
bywalking,,536.019,537.15,1.131
bywalking,,561.17,566.81,5.64
bywalking,,572.1,575.36,3.26
bywalking,,582.488,586.56,4.072
bywalking,,592.01,595.08,3.07
bywalking,,602.49,605.78,3.29
bywalking,,626.34,628.9,2.56
bywalking,,676.24,679.568,3.328
bywalking,,685.62,691.53,5.91
bywalking,,699.59,701.41,1.82
bywalking,,707.07,708.903,1.833
bywalking,,786.976,791.79,4.814
bywalking,,796.592,802.247,5.655
bywalking,,806.927,812.8,5.873
bywalking,,830.072,840.58,10.508
bywalking,,848.727,871.43,22.703
bywalking,,878.197,885.55,7.353
bywalking,,894.08,895.83,1.75
bynotwalking,,0.05,1.14,1.09
bynotwalking,,3.1,15.21,12.11
bynotwalking,,17.09,24.11,7.02
bynotwalking,,26.677,28.3,1.623
bynotwalking,,30.039,48.62,18.581
bynotwalking,,58.239,60.39,2.151
bynotwalking,,61.87,77.3,15.43
bynotwalking,,83.26,93.06,9.8
bynotwalking,,102.57,105.5,2.93
