capwalking,,17.14,19.09,1.95
capwalking,,105.17,106.62,1.45
capwalking,,577.817,581.314,3.497
capwalking,,704.21,708.87,4.66
capwalking,,714.02,718.23,4.21
capwalking,,1035.045,1050.8,15.755
capwalking,,1760.2,1769.63,9.43
capwalking,,1783.417,1790.21,6.793
capnotwalking,,0.04,17.14,17.1
capnotwalking,,19.09,105.17,86.08
capnotwalking,,106.62,577.79,471.17
capnotwalking,,581.33,704.19,122.86
capnotwalking,,708.88,714.02,5.14
capnotwalking,,718.26,1035.04,316.78
capnotwalking,,1050.82,1760.19,709.37
capnotwalking,,1769.61,1783.43,13.82
capnotwalking,,1790.23,1800,12.79
capsniffing,,69,72.1,3.1
capsniffing,,113,117.045,4.045
capsniffing,,330,333.2,3.2
capsniffing,,526.777,530.58,3.803
capsniffing,,540.47,543.9,3.43
capsniffing,,568.72,574.4,5.68
capsniffing,,575.3,584.1,8.8
capsniffing,,628.325,632.185,3.86
capsniffing,,653.21,672.59,19.38
capsniffing,,698.678,722.886,24.208
capsniffing,,759.29,770.629,11.339
capsniffing,,779.931,785.3,5.369
capsniffing,,791.735,794,2.265
capsniffing,,805.511,806.822,1.311
capsniffing,,875.511,877.488,1.977
capsniffing,,890.066,893.222,3.156
capsniffing,,895.311,898.511,3.2
capsniffing,,908.511,911.533,3.022
capsniffing,,937.363,942,4.637
capsniffing,,973.466,1047.977,74.511
capsniffing,,1131.79,1138.022,6.232
capsniffing,,1144.504,1153.244,8.74
capsniffing,,1170.511,1183.27,12.759
capsniffing,,1191.18,1194.44,3.26
capsniffing,,1631.729,1633.54,1.811
capsniffing,,1724.639,1726.4,1.761
capsniffing,,1730.045,1747.99,17.945
capsniffing,,1753.836,1771.386,17.55
capsniffing,,1788.25,1797.424,9.174
caplicking,,524.2,526.37,2.17
caplicking,,575.55,576.34,0.79
caplicking,,618.22,619.81,1.59
caplicking,,627.15,628.1,0.95
caplicking,,689.8,697.31,7.51
capgrooming,,188.915,211.39,22.475
capgrooming,,216.15,221.34,5.19
capgrooming,,231.54,264.95,33.41
capgrooming,,989.4,991.6,2.2
capgrooming,,1105.01,1130.77,25.76
capgrooming,,1140.63,1143.47,2.84
capgrooming,,1726.978,1729.66,2.682
caprearing,,40.62,43.018,2.398
caprearing,,223.044,224.1,1.056
caprearing,,265.7,267.03,1.33
caprearing,,527.185,530.506,3.321
caprearing,,580.86,582.59,1.73
caprearing,,1047.844,1049.489,1.645
caprearing,,1154.333,1157.716,3.383
caprearing,,1769.81,1772.21,2.4
byallogrooming,,490.41,492.62,2.21
byallogrooming,,493.566,494.399,0.833
byallogrooming,,496.147,497.54,1.393
byallogrooming,,643.461,644.415,0.954
byallogrooming,,645.401,646.163,0.762
byallosniffing,,17.6,18.3,0.7
byallosniffing,,33.269,35.822,2.553
byallosniffing,,39.289,40.969,1.68
byallosniffing,,56.7,63.024,6.324
byallosniffing,,94.4,98,3.6
byallosniffing,,105.1,109.1,4
byallosniffing,,302.626,307.49,4.864
byallosniffing,,317.1,318.4,1.3
byallosniffing,,337.1,345,7.9
byallosniffing,,347.413,351.998,4.585
byallosniffing,,376.2,387.5,11.3
byallosniffing,,400.1,403.642,3.542
byallosniffing,,420.73,422.91,2.18
byallosniffing,,486.3,494.315,8.015
byallosniffing,,497.134,501.9,4.766
byallosniffing,,503.4,511.188,7.788
byallosniffing,,576.623,577.433,0.81
byallosniffing,,587.395,590.629,3.234
byallosniffing,,604.81,607.971,3.161
byallosniffing,,639.259,640.79,1.531
byallosniffing,,642.43,649.222,6.792
byallosniffing,,660.04,662.012,1.972
byallosniffing,,720.246,722.393,2.147
byallosniffing,,729.116,732.877,3.761
byallosniffing,,737.5,753.6,16.1
byallosniffing,,765.58,766.999,1.419
byallosniffing,,786.898,792.292,5.394
byallosniffing,,809.395,810.604,1.209
byallosniffing,,817.691,822.012,4.321
byallosniffing,,844.152,847.417,3.265
byallosniffing,,851.22,853.57,2.35
