time_rdsym	time_ptsym	period	time_trough	time_rise	time_decay	time_peak	time	group	experiment	mouse_id
0.49504950495049505	0.5	101	50	50	51	50	2	2	2	1
0.46	0.51	100	49	46	54	51	2	2	2	1
0.5046728971962616	0.5	107	53	54	53	53	2	2	2	1
0.5238095238095238	0.4953271028037383	105	54	55	50	53	2	2	2	1
0.5169491525423728	0.5086206896551724	118	57	61	57	59	2	2	2	1
0.5909090909090909	0.45918367346938777	88	53	52	36	45	2	2	2	1
0.48863636363636365	0.524390243902439	88	39	43	45	43	2	2	2	1
0.4810126582278481	0.4878048780487805	79	42	38	41	40	2	2	2	1
0.4375	0.5287356321839081	96	41	42	54	46	2	2	2	1
0.6879432624113475	0.3087248322147651	141	103	97	44	46	2	2	2	1
0.46875	0.5217391304347826	96	44	45	51	48	2	2	2	1
0.49056603773584906	0.5142857142857142	106	51	52	54	54	2	2	2	1
0.611764705882353	0.4631578947368421	85	51	52	33	44	2	2	2	1
0.30538922155688625	0.7320261437908496	167	41	51	116	112	2	2	2	1
0.4895833333333333	0.5164835164835165	96	44	47	49	47	2	2	2	1
0.41414141414141414	0.5161290322580645	99	45	41	58	48	2	2	2	1
0.7272727272727273	0.32967032967032966	176	122	128	48	60	2	2	2	1
0.49514563106796117	0.5098039215686274	103	50	51	52	52	2	2	2	1
0.49	0.494949494949495	100	50	49	51	49	2	2	2	1
0.46808510638297873	0.5053763440860215	94	46	44	50	47	2	2	2	1
0.52	0.5	100	50	52	48	50	2	2	2	1
0.45121951219512196	0.49411764705882355	82	43	37	45	42	2	2	2	1
0.5760869565217391	0.4838709677419355	92	48	53	39	45	2	2	2	1
0.44047619047619047	0.524390243902439	84	39	37	47	43	2	2	2	1
0.4777777777777778	0.5056179775280899	90	44	43	47	45	2	2	2	1
0.47959183673469385	0.5157894736842106	98	46	47	51	49	2	2	2	1
0.40404040404040403	0.5257731958762887	99	46	40	59	51	2	2	2	1
0.7065217391304348	0.6559139784946236	184	64	130	54	122	2	2	2	1
0.48936170212765956	0.5421686746987951	94	38	46	48	45	2	2	2	1
0.5365853658536586	0.47674418604651164	82	45	44	38	41	2	2	2	1
0.5411764705882353	0.5058823529411764	85	42	46	39	43	2	2	2	1
0.4326923076923077	0.5473684210526316	104	43	45	59	52	2	2	2	1
0.5591397849462365	0.46534653465346537	93	54	52	41	47	2	2	2	1
0.4074074074074074	0.5434782608695652	108	42	44	64	50	2	2	2	1
0.6546762589928058	0.40131578947368424	139	91	91	48	61	2	2	2	1
0.47058823529411764	0.5060240963855421	85	41	40	45	42	2	2	2	1
0.5104166666666666	0.5	96	47	49	47	47	2	2	2	1
0.5645161290322581	0.6198347107438017	124	46	70	54	75	2	2	2	1
0.4148936170212766	0.5053763440860215	94	46	39	55	47	2	2	2	1
0.43478260869565216	0.4946236559139785	92	47	40	52	46	2	2	2	1
0.5275590551181102	0.5080645161290323	127	61	67	60	63	2	2	2	1
0.5175438596491229	0.5	114	58	59	55	58	2	2	2	1
0.5272727272727272	0.4864864864864865	110	57	58	52	54	2	2	2	1
0.4864864864864865	0.5229357798165137	111	52	54	57	57	2	2	2	1
0.42391304347826086	0.4842105263157895	92	49	39	53	46	2	2	2	1
0.7454545454545455	0.6823529411764706	165	54	123	42	116	2	2	2	1
0.5116279069767442	0.5	86	43	44	42	43	2	2	2	1
0.48	0.5161290322580645	100	45	48	52	48	2	2	2	1
0.38181818181818183	0.5510204081632653	110	44	42	68	54	2	2	2	1
0.5714285714285714	0.44715447154471544	112	68	64	48	55	2	2	2	1
0.5377358490566038	0.5	106	52	57	49	52	2	2	2	1
0.5052631578947369	0.4948453608247423	95	49	48	47	48	2	2	2	1
0.49	0.5051546391752577	100	48	49	51	49	2	2	2	1
0.47474747474747475	0.5517241379310345	99	39	47	52	48	2	2	2	1
0.43209876543209874	0.4823529411764706	81	44	35	46	41	2	2	2	1
0.5274725274725275	0.5	91	46	48	43	46	2	2	2	1
0.5360824742268041	0.5052631578947369	97	47	52	45	48	2	2	2	1
0.23225806451612904	0.7302631578947368	155	41	36	119	111	2	2	2	1
0.4845360824742268	0.47959183673469385	97	51	47	50	47	2	2	2	1
0.47058823529411764	0.5398230088495575	119	52	56	63	61	2	2	2	1
0.5046728971962616	0.46846846846846846	107	59	54	53	52	2	2	2	1
0.7183908045977011	0.3050847457627119	174	123	125	49	54	2	2	2	1
0.45121951219512196	0.4880952380952381	82	43	37	45	41	2	2	2	1
0.6823529411764706	0.6686746987951807	170	55	116	54	111	2	2	2	1
0.6746987951807228	0.49696969696969695	166	83	112	54	82	2	2	2	1
0.6689655172413793	0.4161073825503356	145	87	97	48	62	2	2	2	1
0.4	0.5081967213114754	155	60	62	93	62	2	2	2	1
0.43258426966292135	0.5118483412322274	178	103	77	101	108	2	2	2	1
0.494949494949495	0.47572815533980584	99	54	49	50	49	2	2	2	1
0.4942528735632184	0.4888888888888889	87	46	43	44	44	2	2	2	1
0.24404761904761904	0.7407407407407407	168	42	41	127	120	2	2	2	1
0.5517241379310345	0.4639175257731959	87	52	48	39	45	2	2	2	1
0.4897959183673469	0.5217391304347826	98	44	48	50	48	2	2	2	1
0.6797385620915033	0.7218543046357616	153	42	104	49	109	2	2	2	1
0.46153846153846156	0.5	91	45	42	49	45	2	2	2	1
0.5411764705882353	0.4777777777777778	85	47	46	39	43	2	2	2	1
0.44554455445544555	0.5376344086021505	101	43	45	56	50	2	2	2	1
0.5306122448979592	0.4752475247524752	98	53	52	46	48	2	2	2	1
