amp_fraction	amp_consistency	period_consistency	monotonicity	period	time_peak	time_trough	volt_peak	volt_trough	time_decay	time_rise	volt_decay	volt_rise	volt_amp	time_rdsym	time_ptsym	band_amp	sample_peak	sample_last_zerox_decay	sample_zerox_decay	sample_zerox_rise	sample_last_trough	sample_next_trough	is_burst
0.8625429553264605			1.0	112	54	93	1.9927457433304612	-2.2103233985952278	44	68	1.5497972790545673	4.203069141925689	2.876433210490128	0.6071428571428571	0.3673469387755102	1.3934130781249088	300	174	321	267	232	344	False
0.36769759450171824	0.011756386691228507	0.9411764705882353	1.0	112	51	45	1.777223210994901	0.4429484642758938	66	46	1.3679642530879108	1.3342747467190073	1.351119499903459	0.4107142857142857	0.53125	0.44709497218214345	390	321	417	366	344	456	False
0.3951890034364261	0.005751143931815398	0.6722689075630253	1.0	119	69	46	0.4253412746460694	0.40925895790699035	103	16	2.7963683277185067	0.01608231673907906	1.4062253222287928	0.13445378151260504	0.6	0.6503737431430988	472	417	532	463	456	575	False
0.06872852233676977	0.01567281496871125	0.6299212598425197	1.0	80	42	71	-1.312101954699579	-2.3710270530724373	19	61	0.05438753030341226	1.0589250983728584	0.5566563143381353	0.7625	0.37168141592920356	0.3581808114095496	636	532	645	603	575	655	False
0.7869415807560137	0.01567281496871125	0.6299212598425197	1.0	127	58	53	2.103693147280356	-1.3664894850029912	50	77	1.6554886944276104	3.4701826322833473	2.5628356633554787	0.6062992125984252	0.5225225225225225	0.9815769092178391	732	645	756	698	655	782	False
0.5979381443298969	0.5399174386572442	0.8705035971223022	1.0	121	61	51	1.7885528745207802	0.44820445285274574	70	51	2.48250626058946	1.3403484216680344	1.9114273411287472	0.4214876033057851	0.5446428571428571	0.8549805450062119	833	756	868	807	782	903	True
0.6288659793814433	0.5846756286617366	0.8705035971223022	1.0	139	78	63	0.8422177722453144	-0.69395338606868	77	62	2.627390441825213	1.5361711583139943	2.0817808000696036	0.4460431654676259	0.5531914893617021	1.1521935680281872	965	868	1009	931	903	1042	True
0.7422680412371134	0.5693998775002712	0.8776978417266187	1.0	122	58	64	1.2735991366386152	-1.7851726695798986	60	62	1.7416642917621052	3.058771806218514	2.4002180489903093	0.5081967213114754	0.47540983606557374	1.2140283414848858	1104	1009	1131	1073	1042	1164	True
0.2542955326460481	0.6053270614058927	0.8222222222222222	1.0	111	56	62	0.5862113725644406	-0.46806515512349	53	58	1.1027119752524064	1.0542765276879305	1.0784942514701683	0.5225225225225225	0.4745762711864407	0.522132527085174	1222	1131	1249	1193	1164	1275	True
0.27835051546391754	0.6117394793914094	0.6666666666666666	0.9382716049382716	135	56	53	0.611689485139799	-0.5165006026879658	81	54	1.111101812779823	1.1281900878277649	1.1196459503037939	0.4	0.5137614678899083	0.5228368467328058	1329	1249	1358	1302	1275	1410	True
0.19243986254295534	0.5597991651440313	0.6206896551724138	1.0	90	48	69	0.18029251686075615	-0.49941232764002386	52	38	1.2141941017827316	0.6797048445007801	0.9469494731417558	0.4222222222222222	0.41025641025641024	0.4793772383431367	1448	1358	1475	1427	1410	1500	True
0.5120274914089347	0.7439001692590129	0.6206896551724138	1.0	145	80	52	0.5982987451198511	-1.0339015849219755	86	59	1.6958090808888746	1.6322003300418266	1.6640047054653506	0.4068965517241379	0.6060606060606061	0.8248845546562026	1559	1475	1607	1527	1500	1645	True
0.2646048109965636	0.2734676332054609	0.6482758620689655	1.0	94	47	66	0.6497795776187378	-1.0975103357690235	36	58	0.47782723713792585	1.7472899133877613	1.1125585752628435	0.6170212765957447	0.415929203539823	0.5261330480405496	1703	1607	1720	1673	1645	1739	True
0.4879725085910653	0.45036862703790537	0.8545454545454545	1.0	110	56	43	1.2329215298326923	0.17195234048081198	61	49	2.1447129724358622	1.0609691893518804	1.6028410808938713	0.44545454545454544	0.5656565656565656	0.7697147183229026	1788	1720	1819	1763	1739	1849	True
0.6013745704467354	0.7497107148494553	0.856	1.0	107	53	56	0.995185325402291	-0.9117914426031698	54	53	1.918526067254724	1.9069767680054608	1.9127514176300924	0.4953271028037383	0.48623853211009177	0.9253426605778909	1902	1819	1928	1875	1849	1956	True
0.5910652920962199	0.6096124176744595	0.856	1.0	125	67	55	0.5149988074864202	-0.9233407418524331	68	57	2.359432825902415	1.4383395493388533	1.8988861876206342	0.456	0.5491803278688525	1.064874462016442	2013	1928	2050	1983	1956	2081	True
0.9209621993127147	0.6401988593495819	0.672514619883041	1.0	115	56	62	1.8410346315898967	-1.8444340184159946	54	61	2.5364848054665265	3.685468650005891	3.110976727736209	0.5304347826086957	0.4745762711864407	1.5202967755311962	2142	2050	2168	2112	2081	2196	True
0.7766323024054983	0.3460351328092232	0.672514619883041	1.0	171	88	56	1.3893241166145522	-0.6954501738766299	108	63	2.965161307720237	2.084774290491182	2.52496779910571	0.3684210526315789	0.6111111111111112	0.8783702357761609	2259	2168	2312	2224	2196	2367	True
0.0859106529209622	0.08624713265933069	0.72	0.8986013986013985	175	51	163	-0.5497872041879427	-1.575837191105685	32	143	0.2524156042060288	1.0260499869177422	0.6392327955618855	0.8171428571428572	0.2383177570093458	0.32601320439775605	2510	2312	2526	2475	2367	2542	False
0.711340206185567	0.08624713265933069	0.72	1.0	126	60	53	2.1244522168003193	-0.8022028083939715	55	71	1.7415949524502443	2.926655025194291	2.3341249888222677	0.5634920634920635	0.5309734513274337	1.0002301419603163	2613	2526	2639	2579	2542	2668	False
