Mouse,Movement,Movement_type,Start_time,End_time,Duration
byallogrooming,1,7,490.41,492.62,2.21
byallogrooming,1,7,493.566,494.399,0.833
byallogrooming,1,7,496.147,497.54,1.393
byallogrooming,1,7,643.461,644.415,0.954
byallogrooming,1,7,645.401,646.163,0.762
byallosniffing,1,5,17.6,18.3,0.7
byallosniffing,1,5,33.269,35.822,2.553
byallosniffing,1,5,39.289,40.969,1.68
byallosniffing,1,5,56.7,63.024,6.324
byallosniffing,1,5,94.4,98,3.6
byallosniffing,1,5,105.1,109.1,4
byallosniffing,1,5,302.626,307.49,4.864
byallosniffing,1,5,317.1,318.4,1.3
byallosniffing,1,5,337.1,345,7.9
byallosniffing,1,5,347.413,351.998,4.585
byallosniffing,1,5,376.2,387.5,11.3
byallosniffing,1,5,400.1,403.642,3.542
byallosniffing,1,5,420.73,422.91,2.18
byallosniffing,1,5,486.3,494.315,8.015
byallosniffing,1,5,497.134,501.9,4.766
byallosniffing,1,5,503.4,511.188,7.788
byallosniffing,1,5,576.623,577.433,0.81
byallosniffing,1,5,587.395,590.629,3.234
byallosniffing,1,5,604.81,607.971,3.161
byallosniffing,1,5,639.259,640.79,1.531
byallosniffing,1,5,642.43,649.222,6.792
byallosniffing,1,5,660.04,662.012,1.972
byallosniffing,1,5,720.246,722.393,2.147
byallosniffing,1,5,729.116,732.877,3.761
byallosniffing,1,5,737.5,753.6,16.1
byallosniffing,1,5,765.58,766.999,1.419
byallosniffing,1,5,786.898,792.292,5.394
byallosniffing,1,5,809.395,810.604,1.209
byallosniffing,1,5,817.691,822.012,4.321
byallosniffing,1,5,844.152,847.417,3.265
byallosniffing,1,5,851.22,853.57,2.35
byallosniffing,1,5,874.209,876.024,1.815
byallosniffing,1,5,891.555,899.024,7.469
byallosniffing,1,5,902.814,906.481,3.667
byallosniffing,1,5,906.57,910.9,4.33
byallosniffing,1,5,925,937.59,12.59
byallosniffing,1,5,942.5,969.15,26.65
byallosniffing,1,5,977.407,984.172,6.765
byallosniffing,1,5,986.98,992.03,5.05
byallosniffing,1,5,1002.407,1005.012,2.605
byallosniffing,1,5,1014.622,1017.641,3.019
byallosniffing,1,5,1022.411,1023.882,1.471
byallosniffing,1,5,1027.357,1030.234,2.877
byallosniffing,1,5,1033.51,1039.73,6.22
byallosniffing,1,5,1050.188,1055.037,4.849
byallosniffing,1,5,1072.716,1078.32,5.604
byallosniffing,1,5,1080.222,1083.053,2.831
byallosniffing,1,5,1090.886,1092,1.114
byallosniffing,1,5,1096,1098.16,2.16
byallosniffing,1,5,1101.124,1103.32,2.196
byallosniffing,1,5,1118.033,1121.266,3.233
byallosniffing,1,5,1128.753,1133.086,4.333
byallosniffing,1,5,1137.71,1143.86,6.15
byallosniffing,1,5,1181.872,1189.055,7.183
byallosniffing,1,5,1192.346,1194.65,2.304
byallosniffing,1,5,1227.222,1232.543,5.321
byallosniffing,1,5,1235.242,1240.84,5.598
byallosniffing,1,5,1244.4,1247.382,2.982
byallosniffing,1,5,1256.419,1264.246,7.827
byallosniffing,1,5,1286.9,1295.6,8.7
byallosniffing,1,5,1301.9,1303.363,1.463
byallosniffing,1,5,1307.899,1314.041,6.142
byallosniffing,1,5,1447.318,1448.681,1.363
byallosniffing,1,5,1449.737,1451.79,2.053
byallosniffing,1,5,1461.827,1462.992,1.165
byallosniffing,1,5,1464.369,1467.535,3.166
byallosniffing,1,5,1469.803,1476.08,6.277
byallosniffing,1,5,1485.09,1486.5,1.41
byallosniffing,1,5,1497.681,1501.181,3.5
byallosniffing,1,5,1501.333,1509.535,8.202
byallosniffing,1,5,1532.023,1538.464,6.441
byallosniffing,1,5,1548.886,1550.012,1.126
byallosniffing,1,5,1564.833,1567.428,2.595
byallosniffing,1,5,1582.1,1592.018,9.918
byallosniffing,1,5,1598.454,1600.181,1.727
byallosniffing,1,5,1612.3,1617.5,5.2
byallosniffing,1,5,1657.882,1661.414,3.532
byallosniffing,1,5,1665.207,1667.377,2.17
byallosniffing,1,5,1676.584,1678.943,2.359
byallosniffing,1,5,1689.1,1691.6,2.5
byallosniffing,1,5,1692.924,1699.792,6.868
byallosniffing,1,5,1724.6,1727.4,2.8
byallosniffing,1,5,1743.2,1744.2,1
byallosniffing,1,5,1745.225,1748.34,3.115
byallosniffing,1,5,1750.622,1751.32,0.698
byallosniffing,1,5,1784.254,1785.206,0.952
byallosniffing,1,5,1790.85,1794.25,3.4
byallolicking,1,8,494.155,497.772,3.617
bywalking,1,1,18.302,20.533,2.231
bywalking,1,1,33.4,36.177,2.777
bywalking,1,1,39.911,40.733,0.822
