Mouse,Movement,Movement_type,Start_time,End_time,Duration
byallogrooming,1,7,108.036,110.48,2.444
byallosniffing,1,5,13.985,15.18,1.195
byallosniffing,1,5,24.94,28.48,3.54
byallosniffing,1,5,40.02,41.48,1.46
byallosniffing,1,5,45.775,48.27,2.495
byallosniffing,1,5,84.636,86.6,1.964
byallosniffing,1,5,89.557,91.527,1.97
byallosniffing,1,5,109.236,111.69,2.454
byallosniffing,1,5,115.83,121.69,5.86
byallosniffing,1,5,124.51,125.47,0.96
byallosniffing,1,5,128.53,131.01,2.48
byallosniffing,1,5,146.85,148.03,1.18
byallosniffing,1,5,173.245,178.67,5.425
byallosniffing,1,5,181.692,182.538,0.846
byallosniffing,1,5,192.01,194,1.99
byallosniffing,1,5,204.121,205.794,1.673
byallosniffing,1,5,238.705,240.154,1.449
byallosniffing,1,5,243.595,244.713,1.118
byallosniffing,1,5,255.67,262.4,6.73
byallosniffing,1,5,269.884,272.413,2.529
byallosniffing,1,5,277.356,280.409,3.053
byallosniffing,1,5,283.312,285.841,2.529
byallosniffing,1,5,291.269,293.423,2.154
byallosniffing,1,5,304,309.543,5.543
byallosniffing,1,5,325.5,330.421,4.921
byallosniffing,1,5,338.1,339.94,1.84
byallosniffing,1,5,357.764,360.228,2.464
byallosniffing,1,5,363.117,364.5,1.383
byallosniffing,1,5,369.508,372.385,2.877
byallosniffing,1,5,377.894,383.859,5.965
byallosniffing,1,5,396.1,403.3,7.2
byallosniffing,1,5,416.2,424.4,8.2
byallosniffing,1,5,451.999,452.609,0.61
byallosniffing,1,5,464.073,465.536,1.463
byallosniffing,1,5,470.317,480.3,9.983
byallosniffing,1,5,505.276,506.292,1.016
byallosniffing,1,5,513.222,525.97,12.748
byallosniffing,1,5,528.6,530.5,1.9
byallosniffing,1,5,574.636,576.09,1.454
byallosniffing,1,5,581.5,586.045,4.545
byallosniffing,1,5,619.682,621.485,1.803
byallosniffing,1,5,625.59,629.045,3.455
byallosniffing,1,5,637.926,642.024,4.098
byallosniffing,1,5,653.487,654.707,1.22
byallosniffing,1,5,673.318,681.409,8.091
byallosniffing,1,5,706.463,708.512,2.049
byallosniffing,1,5,785.226,789.2,3.974
byallosniffing,1,5,820.928,821.621,0.693
byallosniffing,1,5,826.545,829.681,3.136
byallosniffing,1,5,849.619,851.15,1.531
byallosniffing,1,5,865.239,868.141,2.902
byallosniffing,1,5,868.413,880.23,11.817
byallosniffing,1,5,888.8,890.2,1.4
byallosniffing,1,5,892.9,895,2.1
byallolicking,1,5,315.615,315.997,0.382
bywalking,1,1,1.148,3.1,1.952
bywalking,1,1,15.21,17.09,1.88
bywalking,1,1,24.102,26.67,2.568
bywalking,1,1,28.299,30.02,1.721
bywalking,1,1,48.624,58.22,9.596
bywalking,1,1,60.38,61.85,1.47
bywalking,1,1,77.302,83.25,5.948
bywalking,1,1,93.05,102.56,9.51
bywalking,1,1,105.48,109.87,4.39
bywalking,1,1,111.62,114.05,2.43
bywalking,1,1,116.178,118.4,2.222
bywalking,1,1,138.54,140.86,2.32
bywalking,1,1,146.432,161.3,14.868
bywalking,1,1,163.057,173.93,10.873
bywalking,1,1,184.07,186.507,2.437
bywalking,1,1,192.743,197.6,4.857
bywalking,1,1,204.613,206.44,1.827
bywalking,1,1,209.39,213.72,4.33
bywalking,1,1,243.356,246.93,3.574
bywalking,1,1,249.3,250.27,0.97
bywalking,1,1,254.13,258.41,4.28
bywalking,1,1,260.97,262.93,1.96
bywalking,1,1,265.71,267.26,1.55
bywalking,1,1,283.82,287.14,3.32
bywalking,1,1,292.648,298.22,5.572
bywalking,1,1,300.61,304.79,4.18
bywalking,1,1,308.2,317.42,9.22
bywalking,1,1,344.653,347.42,2.767
bywalking,1,1,364.54,366.45,1.91
bywalking,1,1,368.619,377.94,9.321
bywalking,1,1,384.044,384.69,0.646
bywalking,1,1,389.177,391.43,2.253
bywalking,1,1,400.68,403.75,3.07
bywalking,1,1,416.04,417,0.96
bywalking,1,1,432.04,434.605,2.565
bywalking,1,1,439.86,442.3,2.44
bywalking,1,1,449.41,453.97,4.56
bywalking,1,1,474.977,476.86,1.883
bywalking,1,1,506.39,513.99,7.6
bywalking,1,1,522.98,530.75,7.77
bywalking,1,1,536.019,537.15,1.131
bywalking,1,1,561.17,566.81,5.64
bywalking,1,1,572.1,575.36,3.26
bywalking,1,1,582.488,586.56,4.072
bywalking,1,1,592.01,595.08,3.07
bywalking,1,1,602.49,605.78,3.29
bywalking,1,1,626.34,628.9,2.56
bywalking,1,1,676.24,679.568,3.328
bywalking,1,1,685.62,691.53,5.91
bywalking,1,1,699.59,701.41,1.82
bywalking,1,1,707.07,708.903,1.833
bywalking,1,1,786.976,791.79,4.814
bywalking,1,1,796.592,802.247,5.655
bywalking,1,1,806.927,812.8,5.873
bywalking,1,1,830.072,840.58,10.508
bywalking,1,1,848.727,871.43,22.703
bywalking,1,1,878.197,885.55,7.353
bywalking,1,1,894.08,895.83,1.75
bynotwalking,0,0,0.05,1.14,1.09
bynotwalking,0,0,3.1,15.21,12.11
bynotwalking,0,0,17.09,24.11,7.02
bynotwalking,0,0,26.677,28.3,1.623
bynotwalking,0,0,30.039,48.62,18.581
bynotwalking,0,0,58.239,60.39,2.151
bynotwalking,0,0,61.87,77.3,15.43
bynotwalking,0,0,83.26,93.06,9.8
bynotwalking,0,0,102.57,105.5,2.93
bynotwalking,0,0,109.874,111.629,1.755
bynotwalking,0,0,114.05,116.18,2.13
bynotwalking,0,0,118.404,138.54,20.136
bynotwalking,0,0,140.87,146.44,5.57
bynotwalking,0,0,161.3,163.06,1.76
bynotwalking,0,0,173.95,184.07,10.12
bynotwalking,0,0,186.51,192.75,6.24
bynotwalking,0,0,197.62,204.63,7.01
bynotwalking,0,0,206.436,209.39,2.954
bynotwalking,0,0,213.738,238.71,24.972
bynotwalking,0,0,240.15,243.37,3.22
bynotwalking,0,0,246.923,249.3,2.377
bynotwalking,0,0,250.26,254.13,3.87
bynotwalking,0,0,258.42,260.99,2.57
bynotwalking,0,0,262.952,265.71,2.758
bynotwalking,0,0,267.25,283.84,16.59
bynotwalking,0,0,287.14,292.65,5.51
bynotwalking,0,0,298.226,300.62,2.394
bynotwalking,0,0,304.813,308.194,3.381
bynotwalking,0,0,317.43,344.66,27.23
bynotwalking,0,0,347.43,364.54,17.11
bynotwalking,0,0,366.43,368.61,2.18
bynotwalking,0,0,377.96,384.04,6.08
bynotwalking,0,0,384.713,389.195,4.482
bynotwalking,0,0,391.459,400.68,9.221
bynotwalking,0,0,403.77,416.06,12.29
bynotwalking,0,0,417.02,432.03,15.01
bynotwalking,0,0,434.6,439.855,5.255
bynotwalking,0,0,442.327,449.43,7.103
bynotwalking,0,0,453.981,474.98,20.999
bynotwalking,0,0,476.86,506.39,29.53
bynotwalking,0,0,514.031,522.98,8.949
bynotwalking,0,0,530.771,536.02,5.249
bynotwalking,0,0,537.174,561.16,23.986
bynotwalking,0,0,566.81,572.11,5.3
