Mouse,Movement,Movement_type,Start_time,End_time,Duration
capsniffing,1,4,1274.4,1278.6,4.2
capsniffing,1,4,1323.3,1328.8,5.5
capsniffing,1,4,1333.636,1343.727,10.091
capsniffing,1,4,1347.468,1350.181,2.713
capsniffing,1,4,1352.212,1354.42,2.208
capsniffing,1,4,1357.09,1359.54,2.45
capsniffing,1,4,1364.3,1367.866,3.566
capsniffing,1,4,1372.454,1377.027,4.573
capsniffing,1,4,1378,1379.706,1.706
capsniffing,1,4,1403.7,1417.2,13.5
capsniffing,1,4,1419.357,1423.45,4.093
capsniffing,1,4,1429.4,1436.9,7.5
capsniffing,1,4,1438.129,1439.576,1.447
capsniffing,1,4,1443.597,1445.63,2.033
capsniffing,1,4,1445.84,1462.49,16.65
capsniffing,1,4,1464.415,1468.015,3.6
capsniffing,1,4,1472.292,1479.184,6.892
capsniffing,1,4,1487.43,1491.046,3.616
capsniffing,1,4,1502.369,1505.507,3.138
capsniffing,1,4,1508.307,1511.846,3.539
capsniffing,1,4,1518.6,1520.6,2
capsniffing,1,4,1527.43,1532.2,4.77
capsniffing,1,4,1532.389,1536.3,3.911
capsniffing,1,4,1555.4,1556.415,1.015
capsniffing,1,4,1558.169,1559.43,1.261
capsniffing,1,4,1560.6,1561.215,0.615
capsniffing,1,4,1569.444,1570.723,1.279
capsniffing,1,4,1591.407,1595.999,4.592
capsniffing,1,4,1598.407,1599.407,1
capsniffing,1,4,1620.1,1643.8,23.7
capsniffing,1,4,1646.783,1648.524,1.741
capsniffing,1,4,1650.395,1652.019,1.624
capsniffing,1,4,1658.521,1666.617,8.096
capsniffing,1,4,1670.4,1671.803,1.403
capsniffing,1,4,1672.85,1675.617,2.767
capsniffing,1,4,1677.197,1680.209,3.012
capsniffing,1,4,1681.209,1685.2,3.991
capsniffing,1,4,1692,1693.245,1.245
capsniffing,1,4,1696.1,1705.4,9.3
capsniffing,1,4,1709.1,1723,13.9
caplicking,1,6,0.87,3,2.13
caplicking,1,6,406.71,481.11,74.4
caplicking,1,6,501.12,506.45,5.33
caplicking,1,6,526.92,538.98,12.06
caplicking,1,6,543.01,552.72,9.71
caplicking,1,6,554.95,556.26,1.31
caplicking,1,6,558.37,562.99,4.62
caplicking,1,6,574.14,582.28,8.14
caplicking,1,6,737.01,774.05,37.04
caplicking,1,6,780.02,786.45,6.43
caplicking,1,6,787.55,789.71,2.16
caplicking,1,6,1379.92,1403.692,23.772
capallosniffing,1,5,288.3,295.9,7.6
capallosniffing,1,5,595.8,604.9,9.1
capallosniffing,1,5,642.5,643.6,1.1
capallosniffing,1,5,683.978,685.346,1.368
capallosniffing,1,5,694.691,697.5,2.809
capallosniffing,1,5,825.5,827.1,1.6
capallosniffing,1,5,853.807,854.245,0.438
capallosniffing,1,5,898.9,899.558,0.658
capallosniffing,1,5,1089.5,1091.8,2.3
capallosniffing,1,5,1102.5,1103.307,0.807
capallosniffing,1,5,1118.1,1119.092,0.992
capallosniffing,1,5,1261.5,1264.4,2.9
capallosniffing,1,5,1275.4,1278.5,3.1
capallosniffing,1,5,1323.428,1326.013,2.585
capallosniffing,1,5,1326.693,1328.653,1.96
capallosniffing,1,5,1334,1338,4
capallosniffing,1,5,1364.538,1367.653,3.115
capallosniffing,1,5,1419.5,1423.1,3.6
capallosniffing,1,5,1429.1,1432.4,3.3
capallosniffing,1,5,1436.09,1441.045,4.955
capallosniffing,1,5,1443.59,1450.5,6.91
capallosniffing,1,5,1455.8,1461.547,5.747
capallosniffing,1,5,1488.045,1489.5,1.455
capallosniffing,1,5,1510.045,1511.545,1.5
capallosniffing,1,5,1518.862,1520.5,1.638
capallosniffing,1,5,1558.2,1559.7,1.5
capallosniffing,1,5,1622.59,1631.636,9.046
capallosniffing,1,5,1632.59,1638.09,5.5
capallosniffing,1,5,1650.545,1651.954,1.409
capallosniffing,1,5,1662.045,1669.09,7.045
capallosniffing,1,5,1670.635,1675.59,4.955
capallosniffing,1,5,1691.1,1693.6,2.5
capallosniffing,1,5,1704.466,1705.822,1.356
capallosniffing,1,5,1707.511,1710.066,2.555
capallosniffing,1,5,1716.3,1720.3,4
capallogrooming,1,7,1422.5,1422.957,0.457
capallogrooming,1,7,1457.622,1458.622,1
capallolicking,1,8,406.5,481,74.5
