Mouse,Movement,Movement_type,Start_time,End_time,Duration
bynotwalking,0,0,1681.01,1686.16,5.15
bynotwalking,0,0,1690.96,1692.785,1.825
bynotwalking,0,0,1696.725,1699.93,3.205
bynotwalking,0,0,1701.65,1717.04,15.39
bynotwalking,0,0,1724.93,1728.25,3.32
bynotwalking,0,0,1729.66,1734.92,5.26
bynotwalking,0,0,1740.2,1803.31,63.11
bysniffing,1,4,5.06,8.561,3.501
bysniffing,1,4,22.76,24.59,1.83
bysniffing,1,4,29.049,36.52,7.471
bysniffing,1,4,38.792,47.65,8.858
bysniffing,1,4,58.614,72.26,13.646
bysniffing,1,4,78.38,80.88,2.5
bysniffing,1,4,94.344,95.34,0.996
bysniffing,1,4,111.174,114.901,3.727
bysniffing,1,4,124.648,126.324,1.676
bysniffing,1,4,137.488,142.81,5.322
bysniffing,1,4,152.256,154.1,1.844
bysniffing,1,4,184.651,185.82,1.169
bysniffing,1,4,186.615,187.963,1.348
bysniffing,1,4,194.4,199.334,4.934
bysniffing,1,4,202.473,209.72,7.247
bysniffing,1,4,213.63,225.782,12.152
bysniffing,1,4,230.131,230.81,0.679
bysniffing,1,4,235.842,252.098,16.256
bysniffing,1,4,263.192,266.793,3.601
bysniffing,1,4,282.645,283.5,0.855
bysniffing,1,4,302.886,309.83,6.944
bysniffing,1,4,311.864,314.053,2.189
bysniffing,1,4,317.72,329.02,11.3
bysniffing,1,4,330.592,335.268,4.676
bysniffing,1,4,365.373,404.87,39.497
bysniffing,1,4,408.661,419.048,10.387
bysniffing,1,4,424.655,443.29,18.635
bysniffing,1,4,462.771,471.04,8.269
bysniffing,1,4,492.543,497.018,4.475
bysniffing,1,4,501.855,517.87,16.015
bysniffing,1,4,521.726,527.85,6.124
bysniffing,1,4,531.56,535.02,3.46
bysniffing,1,4,538.168,558.53,20.362
bysniffing,1,4,564.157,608.94,44.783
bysniffing,1,4,616.254,630.26,14.006
bysniffing,1,4,635.896,647.98,12.084
bysniffing,1,4,655.52,656.664,1.144
bysniffing,1,4,670.327,688.21,17.883
bysniffing,1,4,697.801,701.781,3.98
bysniffing,1,4,707.721,721.47,13.749
bysniffing,1,4,723.551,731.61,8.059
bysniffing,1,4,766.262,772.675,6.413
bysniffing,1,4,780.706,785.543,4.837
bysniffing,1,4,788.96,791.39,2.43
bysniffing,1,4,796.732,799.475,2.743
bysniffing,1,4,822,825.46,3.46
bysniffing,1,4,836.653,846.22,9.567
bysniffing,1,4,853.205,859,5.795
bysniffing,1,4,863.769,869.993,6.224
bysniffing,1,4,893.678,897.13,3.452
bysniffing,1,4,902.159,904.677,2.518
bysniffing,1,4,907.991,923.6,15.609
bysniffing,1,4,952.709,961.37,8.661
bysniffing,1,4,980.695,995.66,14.965
bysniffing,1,4,998.278,1002.36,4.082
bysniffing,1,4,1006.801,1019.03,12.229
bysniffing,1,4,1023.856,1029.44,5.584
bysniffing,1,4,1037.308,1040.734,3.426
bysniffing,1,4,1046.974,1053.51,6.536
bysniffing,1,4,1057.122,1058.55,1.428
bysniffing,1,4,1063.689,1070.616,6.927
bysniffing,1,4,1072.34,1074.973,2.633
bysniffing,1,4,1093.322,1097.628,4.306
bysniffing,1,4,1100.445,1102.591,2.146
bysniffing,1,4,1111.567,1112.832,1.265
bysniffing,1,4,1116.923,1120.218,3.295
bysniffing,1,4,1128.418,1138.971,10.553
bysniffing,1,4,1140.827,1145.11,4.283
bysniffing,1,4,1148.101,1149.82,1.719
bysniffing,1,4,1152.427,1162.226,9.799
bysniffing,1,4,1168.01,1173.74,5.73
bysniffing,1,4,1175.246,1185.97,10.724
bysniffing,1,4,1190.824,1193.986,3.162
bysniffing,1,4,1196.53,1199.89,3.36
bysniffing,1,4,1214.741,1229.19,14.449
bysniffing,1,4,1269.99,1273.06,3.07
bysniffing,1,4,1326.943,1333.18,6.237
bysniffing,1,4,1336.979,1340.63,3.651
bysniffing,1,4,1347.23,1350.997,3.767
bysniffing,1,4,1360.769,1386.07,25.301
bysniffing,1,4,1387.99,1389.56,1.57
bysniffing,1,4,1392.77,1401.38,8.61
bysniffing,1,4,1403.51,1412.9,9.39
bysniffing,1,4,1418.041,1431.717,13.676
bysniffing,1,4,1438.794,1448.06,9.266
bysniffing,1,4,1453.06,1466.22,13.16
bysniffing,1,4,1488.893,1490.55,1.657
bysniffing,1,4,1498.091,1502.44,4.349
bysniffing,1,4,1505.341,1541.88,36.539
bysniffing,1,4,1548.156,1551.91,3.754
bysniffing,1,4,1569.782,1582.084,12.302
bysniffing,1,4,1583.414,1596.98,13.566
bysniffing,1,4,1600.409,1612.03,11.621
bysniffing,1,4,1616.944,1618.24,1.296
bysniffing,1,4,1626.417,1648.87,22.453
bysniffing,1,4,1653.111,1665.49,12.379
bysniffing,1,4,1675.662,1683.131,7.469
bysniffing,1,4,1686.86,1687.53,0.67
bysniffing,1,4,1701.539,1726.85,25.311
bysniffing,1,4,1729.106,1730.99,1.884
bysniffing,1,4,1733.083,1789.64,56.557
bysniffing,1,4,1793.59,1802.682,9.092
bygrooming,1,3,648.597,655.52,6.923
bygrooming,1,3,657.07,669.51,12.44
bygrooming,1,3,817.915,822,4.085
bygrooming,1,3,1003.29,1004.787,1.497
bygrooming,1,3,1209.168,1213.72,4.552
bygrooming,1,3,1297.858,1323.63,25.772
bygrooming,1,3,1325.915,1327.34,1.425
bygrooming,1,3,1333.18,1335.09,1.91
bygrooming,1,3,1401.38,1403.51,2.13
bygrooming,1,3,1558.33,1560.2,1.87
byrearing,1,2,33.539,36.63,3.091
byrearing,1,2,232.93,233.595,0.665
byrearing,1,2,240.796,244.477,3.681
byrearing,1,2,298.187,301.034,2.847
byrearing,1,2,426.002,431.27,5.268
byrearing,1,2,461.989,465.341,3.352
byrearing,1,2,545.6,550.67,5.07
byrearing,1,2,568.14,573.379,5.239
byrearing,1,2,576.348,579.509,3.161
byrearing,1,2,584.252,586.747,2.495
byrearing,1,2,593.24,596.48,3.24
byrearing,1,2,637.992,640.039,2.047
byrearing,1,2,697.13,701.71,4.58
byrearing,1,2,708.605,711.568,2.963
byrearing,1,2,714.901,717.591,2.69
byrearing,1,2,844.925,846.875,1.95
byrearing,1,2,908.826,910.661,1.835
byrearing,1,2,918.237,924.027,5.79
byrearing,1,2,925.579,929.001,3.422
byrearing,1,2,1000.77,1005.48,4.71
byrearing,1,2,1006.634,1009.957,3.323
byrearing,1,2,1012.96,1015.323,2.363
byrearing,1,2,1025.863,1029.152,3.289
byrearing,1,2,1215.817,1217.474,1.657
byrearing,1,2,1224.48,1226.339,1.859
byrearing,1,2,1418.617,1420.481,1.864
byrearing,1,2,1424.429,1429.129,4.7
byrearing,1,2,1527.968,1535.263,7.295
byrearing,1,2,1608.988,1612.805,3.817
byrearing,1,2,1657.602,1659.658,2.056
byrearing,1,2,1693.566,1695.864,2.298
byrearing,1,2,1724.575,1726.52,1.945
byrearing,1,2,1729.993,1731.715,1.722
byrearing,1,2,1739.099,1741.689,2.59
byrearing,1,2,1751.139,1767.09,15.951
byallosniffing,1,5,10.473,13.697,3.224
byallosniffing,1,5,15.844,20.769,4.925
byallosniffing,1,5,24.489,26.187,1.698
byallosniffing,1,5,73.106,77.755,4.649
byallosniffing,1,5,231.395,236.107,4.712
byallosniffing,1,5,284.589,285.877,1.288
byallosniffing,1,5,288.581,301.791,13.21
byallosniffing,1,5,333.531,335.769,2.238
byallosniffing,1,5,339.571,344.007,4.436
byallosniffing,1,5,419.209,422.093,2.884
byallosniffing,1,5,459.652,461.949,2.297
byallosniffing,1,5,521.612,525.537,3.925
byallosniffing,1,5,564.003,565.873,1.87
byallosniffing,1,5,587.559,588.683,1.124
byallosniffing,1,5,680.371,682.272,1.901
byallosniffing,1,5,847.445,849.366,1.921
byallosniffing,1,5,859.034,861.714,2.68
byallosniffing,1,5,876.477,878.187,1.71
byallosniffing,1,5,930.748,933.309,2.561
byallosniffing,1,5,1019.445,1021.964,2.519
byallosniffing,1,5,1064.46,1069.237,4.777
byallosniffing,1,5,1131.496,1132.114,0.618
byallosniffing,1,5,1134.867,1138.68,3.813
byallosniffing,1,5,1150.433,1151.417,0.984
byallosniffing,1,5,1230.222,1239.244,9.022
byallosniffing,1,5,1342.1,1343.58,1.48
byallosniffing,1,5,1467.204,1480.755,13.551
byallosniffing,1,5,1483.147,1487.505,4.358
byallosniffing,1,5,1543.427,1547.721,4.294
byallosniffing,1,5,1553.37,1556.454,3.084
byallosniffing,1,5,1586.244,1588.654,2.41
byallosniffing,1,5,1602.625,1603.942,1.317
byallosniffing,1,5,1614.136,1615.287,1.151
byallosniffing,1,5,1621.295,1625.962,4.667
byallosniffing,1,5,1671.201,1672.683,1.482
byallosniffing,1,5,1682.955,1686.28,3.325
byallosniffing,1,5,1689.604,1699.999,10.395
byallosniffing,1,5,1734.03,1738.003,3.973
