Mouse,Movement,Movement_type,Start_time,End_time,Duration
capwalking,1,1,10.38,11.231,0.851
capwalking,1,1,13.686,14.745,1.059
capwalking,1,1,28.705,30.816,2.111
capwalking,1,1,38.387,40.635,2.248
capwalking,1,1,50.933,53.798,2.865
capwalking,1,1,60.529,62.241,1.712
capwalking,1,1,70.564,73.536,2.972
capwalking,1,1,79.087,80.355,1.268
capwalking,1,1,81.84,82.53,0.69
capwalking,1,1,91.486,92.529,1.043
capwalking,1,1,97.545,103.7,6.155
capwalking,1,1,137.577,143.102,5.525
capwalking,1,1,163.011,171.61,8.599
capwalking,1,1,191.371,196.7,5.329
capwalking,1,1,203.344,204.618,1.274
capwalking,1,1,224.084,229.02,4.936
capwalking,1,1,238.541,242.03,3.489
capwalking,1,1,261.006,263.273,2.267
capwalking,1,1,316.973,321.131,4.158
capwalking,1,1,352.286,354.24,1.954
capwalking,1,1,362.824,365.257,2.433
capwalking,1,1,396.065,404.56,8.495
capwalking,1,1,480.22,481.718,1.498
capwalking,1,1,485.67,491.311,5.641
capwalking,1,1,557.535,559.56,2.025
capwalking,1,1,575.189,576.13,0.941
capwalking,1,1,581.308,582.215,0.907
capwalking,1,1,625.409,631.73,6.321
capwalking,1,1,664.347,667.089,2.742
capwalking,1,1,667.917,670.26,2.343
capwalking,1,1,686.622,690.03,3.408
capwalking,1,1,830.313,833.022,2.709
capwalking,1,1,880.312,885.73,5.418
capwalking,1,1,888.812,890.111,1.299
capwalking,1,1,895.59,896.3,0.71
capnotwalking,0,0,0.01,10.37,10.37
capnotwalking,0,0,11.23,13.68,2.45
capnotwalking,0,0,14.764,28.71,13.946
capnotwalking,0,0,30.81,38.38,7.57
capnotwalking,0,0,40.64,50.92,10.28
capnotwalking,0,0,53.79,60.53,6.74
capnotwalking,0,0,62.24,70.57,8.33
capnotwalking,0,0,73.54,79.09,5.55
capnotwalking,0,0,80.36,81.84,1.48
capnotwalking,0,0,82.54,91.48,8.94
capnotwalking,0,0,92.53,97.55,5.02
capnotwalking,0,0,103.72,137.57,33.85
capnotwalking,0,0,143.1,163.01,19.91
capnotwalking,0,0,171.61,191.37,19.76
capnotwalking,0,0,196.71,203.35,6.64
capnotwalking,0,0,204.62,224.08,19.46
capnotwalking,0,0,229.03,238.55,9.52
capnotwalking,0,0,242.04,261.01,18.97
capnotwalking,0,0,263.28,316.96,53.68
capnotwalking,0,0,321.14,352.27,31.13
capnotwalking,0,0,354.24,362.81,8.57
capnotwalking,0,0,365.26,396.06,30.8
capnotwalking,0,0,404.57,480.22,75.65
capnotwalking,0,0,481.72,485.68,3.96
capnotwalking,0,0,491.32,557.52,66.2
capnotwalking,0,0,559.57,575.19,15.62
capnotwalking,0,0,576.13,581.31,5.18
capnotwalking,0,0,582.22,625.4,43.18
capnotwalking,0,0,631.73,664.34,32.61
capnotwalking,0,0,667.08,667.93,0.85
capnotwalking,0,0,670.27,686.61,16.34
capnotwalking,0,0,690.04,830.31,140.27
capnotwalking,0,0,833.03,880.31,47.28
capnotwalking,0,0,885.73,888.82,3.09
capnotwalking,0,0,890.12,895.6,5.48
capnotwalking,0,0,896.31,900,10.03
caprearing,1,2,99.763,100.81,1.047
caprearing,1,2,212.983,216.045,3.062
caprearing,1,2,228.846,230.542,1.696
caprearing,1,2,234.34,237.41,3.07
caprearing,1,2,272.538,275.945,3.407
caprearing,1,2,354.24,357.56,3.32
caprearing,1,2,499.91,500.9,0.99
caprearing,1,2,562.21,565.6,3.39
caprearing,1,2,632.42,635.13,2.71
caprearing,1,2,641.937,645.538,3.601
caprearing,1,2,682.453,684.718,2.265
caprearing,1,2,901.51,904.535,3.025
capsniffing,1,4,3.77,6.22,2.45
capsniffing,1,4,18.55,24.2,5.65
capsniffing,1,4,31.166,40.1,8.934
capsniffing,1,4,45.8,56.034,10.234
capsniffing,1,4,63.89,73.6,9.71
capsniffing,1,4,80.062,84.064,4.002
capsniffing,1,4,87.014,89.731,2.717
capsniffing,1,4,98.46,103.814,5.354
capsniffing,1,4,108.048,124.08,16.032
capsniffing,1,4,128.1,130.62,2.52
capsniffing,1,4,141.793,148.55,6.757
capsniffing,1,4,173.346,174.4,1.054
capsniffing,1,4,187.81,189.92,2.11
capsniffing,1,4,197.037,200.332,3.295
capsniffing,1,4,204.55,205.636,1.086
capsniffing,1,4,207.515,224.04,16.525
capsniffing,1,4,230.892,237.88,6.988
capsniffing,1,4,253.72,255.014,1.294
capsniffing,1,4,256.397,257.11,0.713
capsniffing,1,4,270.507,272.169,1.662
capsniffing,1,4,276.907,279.71,2.803
capsniffing,1,4,333.017,335.614,2.597
capsniffing,1,4,336.78,338.26,1.48
capsniffing,1,4,339.48,341.93,2.45
capsniffing,1,4,367.543,372.368,4.825
capsniffing,1,4,384.235,386.52,2.285
capsniffing,1,4,389.2,400.2,11
capsniffing,1,4,423.792,437.76,13.968
capsniffing,1,4,481.462,503.46,21.998
capsniffing,1,4,512.4,527.5,15.1
capsniffing,1,4,529.28,562.2,32.92
capsniffing,1,4,573.2,576.4,3.2
capsniffing,1,4,589.5,593.954,4.454
capsniffing,1,4,602.227,605.045,2.818
capsniffing,1,4,621.6,628.43,6.83
capsniffing,1,4,631.711,646.705,14.994
capsniffing,1,4,653.684,666.02,12.336
capsniffing,1,4,671.453,680.144,8.691
capsniffing,1,4,810.72,814.025,3.305
capsniffing,1,4,876.722,900,24.878
capgrooming,1,3,155.488,161.598,6.11
capgrooming,1,3,248.095,250.007,1.912
capgrooming,1,3,268.45,270.18,1.73
capgrooming,1,3,281.98,282.89,0.91
capgrooming,1,3,286.004,286.526,0.522
capgrooming,1,3,290.14,309.92,19.78
capgrooming,1,3,646.633,654.11,7.477
capgrooming,1,3,813.61,828.96,15.35
capgrooming,1,3,833.56,846.44,12.88
capgrooming,1,3,848.059,855.91,7.851
caplicking,1,6,821.807,822.057,0.25
caplicking,1,6,834.8,836.555,1.755
caplicking,1,6,842.5,843,0.5
caplicking,1,6,849.916,850.351,0.435
caplicking,1,6,851.011,851.488,0.477
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
