capwalking,,15.959,21.55,5.591
capwalking,,22.987,23.76,0.773
capwalking,,34.37,37.22,2.85
capwalking,,46.27,48.329,2.059
capwalking,,67.645,72.26,4.615
capwalking,,73.342,76.39,3.048
capwalking,,91.867,93.39,1.523
capwalking,,134.04,136.63,2.59
capwalking,,139.619,142.33,2.711
capwalking,,147.32,149.193,1.873
capwalking,,158.14,159.75,1.61
capwalking,,171.913,173.75,1.837
capwalking,,179.86,182.49,2.63
capwalking,,185.97,188.23,2.26
capwalking,,214.6,217.03,2.43
capwalking,,226.77,228.81,2.04
capwalking,,234.383,237.06,2.677
capwalking,,238.51,240.31,1.8
capwalking,,243.63,246.53,2.9
capwalking,,272.94,275.28,2.34
capwalking,,289.147,295.12,5.973
capwalking,,338.87,348.11,9.24
capwalking,,400.371,409.98,9.609
capwalking,,412.001,415.43,3.429
capwalking,,499.17,499.96,0.79
capwalking,,510.03,514.15,4.12
capwalking,,542.68,545.96,3.28
capwalking,,548.6,565.89,17.29
capwalking,,582.056,585.98,3.924
capwalking,,595.789,607.09,11.301
capwalking,,615.114,622.91,7.796
capwalking,,627.96,637.11,9.15
capwalking,,793.04,795.37,2.33
capwalking,,826.714,834.79,8.076
capwalking,,860.637,863.2,2.563
capwalking,,882.434,902.08,19.646
capnotwalking,,0.797,15.97,15.173
capnotwalking,,21.56,23.01,1.45
capnotwalking,,23.757,34.37,10.613
capnotwalking,,37.23,46.29,9.06
capnotwalking,,48.32,67.64,19.32
capnotwalking,,72.27,73.33,1.06
capnotwalking,,76.4,91.85,15.45
capnotwalking,,93.38,134.04,40.66
capnotwalking,,136.63,139.63,3
capnotwalking,,142.346,147.32,4.974
capnotwalking,,149.21,158.16,8.95
capnotwalking,,159.75,171.92,12.17
capnotwalking,,173.73,179.87,6.14
capnotwalking,,182.5,185.97,3.47
capnotwalking,,188.22,214.59,26.37
capnotwalking,,217.02,226.78,9.76
capnotwalking,,228.813,234.4,5.587
capnotwalking,,237.06,238.51,1.45
capnotwalking,,240.313,243.65,3.337
capnotwalking,,246.53,272.96,26.43
capnotwalking,,275.28,289.14,13.86
capnotwalking,,295.13,338.87,43.74
capnotwalking,,348.09,400.383,52.293
