amp_fraction	amp_consistency	period_consistency	monotonicity	period	time_peak	time_trough	volt_peak	volt_trough	time_decay	time_rise	volt_decay	volt_rise	volt_amp	time_rdsym	time_ptsym	band_amp	sample_peak	sample_last_zerox_decay	sample_zerox_decay	sample_zerox_rise	sample_last_trough	sample_next_trough	is_burst
0.11022657685241886			0.925	79	42	44	0.4782735356387769	0.42397179446816674	59	20	1.7517350470691402	0.05430174117061015	0.9030183941198752	0.25316455696202533	0.4883720930232558	0.47868369214133255	287	231	317	275	267	346	False
0.5499081445192896	0.8215768391592252	0.37799043062200954	0.8730769230769231	209	142	57	0.39495245425175834	-1.2734615114303633	79	130	2.0307461045147304	1.6684139656821217	1.849580035098426	0.6220095693779905	0.7135678391959799	0.6441047353153612	476	317	516	374	346	555	False
0.24096754439681567	0.48163939591579286	0.4880382775119617	1.0	102	49	68	0.0971645288784848	-1.6357936502629722	45	57	0.8346609305490237	1.732958179141457	1.2838095548452404	0.5588235294117647	0.4188034188034188	0.7418659324841794	612	516	633	584	555	657	False
0.028475199020208206	0.0	0.5071428571428571	0.5	71	44	51	0.12368030488278281	-0.7374964016705389	1	70	-0.0014223553845068015	0.8611767065533217	0.4298771755844074	0.9859154929577465	0.4631578947368421	0.22204614319968896	727	633	728	684	657	728	False
0.15401102265768524	0.0	0.5071428571428571	0.9829545454545454	140	53	61	1.0754030433997752	0.1251026602672896	52	88	1.189594012770552	0.9503003831324857	1.0699471979515187	0.6285714285714286	0.4649122807017544	0.39970086783326525	816	728	842	789	728	868	False
0.13778322106552357	0.2518020214703228	0.65	1.0	91	46	43	0.29018674592399735	-0.11419096937077687	57	34	1.6059351427503685	0.40437771529477423	1.0051564290225714	0.37362637362637363	0.5168539325842697	0.5006098779779155	902	842	931	885	868	959	True
0.2786282914880588	0.5494519313064902	0.900990099009901	1.0	101	51	56	0.43878143500852496	-1.3157483968263712	44	57	0.9640298046365352	1.7545298318348963	1.3592798182357158	0.5643564356435643	0.4766355140186916	0.7472241520774845	1016	931	1038	987	959	1060	True
0.323943661971831	0.5940735650692408	0.9603960396039604	1.0	97	48	48	1.0974964574779984	-0.5252483696280102	46	51	1.2653650763142203	1.6227448271060085	1.4440549517101144	0.5257731958762887	0.5	0.6108376985095105	1111	1038	1134	1086	1060	1157	True
0.28169014084507044	0.7959370398618407	0.9072164948453608	1.0	97	48	46	1.0406164591664648	-0.16786861883622192	51	46	1.5183174264794317	1.2084850780026868	1.3634012522410592	0.4742268041237113	0.5106382978723404	0.6695213999241231	1203	1134	1228	1180	1157	1254	True
0.12155541947336192	0.2737333279227799	0.9072164948453608	1.0	88	44	52	0.9964313897434255	-0.4777009673129668	34	54	0.40351915589569787	1.4741323570563922	0.938825756476045	0.6136363636363636	0.4583333333333333	0.44131914302636993	1308	1228	1324	1280	1254	1342	True
0.15339865278628292	0.5327853578452226	0.9555555555555556	1.0	90	44	39	1.35028882078637	0.5929122338477276	48	42	1.3753351676613164	0.7573765869386423	1.0663558772999793	0.4666666666666667	0.5301204819277109	0.4285200042072444	1384	1324	1407	1363	1342	1432	True
0.2657685241886099	0.559160440923825	0.5548387096774193	1.0	86	43	44	0.9278597558365229	-0.02504634687494637	47	39	1.7041729581890874	0.9529061027114692	1.3285395304502783	0.45348837209302323	0.4942528735632184	0.4287002663043818	1471	1407	1494	1451	1432	1518	True
0.7057562767911819	0.48948034457529255	0.5548387096774193	1.0	155	64	46	0.6642284900534975	-0.7763132023525646	109	46	2.9430021212720545	1.4405416924060621	2.191771906839058	0.2967741935483871	0.5818181818181818	0.778584727228017	1564	1494	1604	1540	1518	1673	True
0.0906307409675444	0.0	0.40963855421686746	0.39603960396039606	102	73	98	-0.6444820826333532	-2.278773631218557	1	101	-0.010816674415977667	1.634291548585204	0.8117374370846132	0.9901960784313726	0.4269005847953216	0.5372607816090199	1774	1604	1775	1702	1673	1775	False
0.6993263931414574	0.0	0.40963855421686746	0.9192307692307693	249	111	77	1.6134868683509003	-0.6336654082173755	130	119	2.0990152021450816	2.2471522765682757	2.1730837393566786	0.4779116465863454	0.5904255319148937	0.44446629677745747	1894	1775	1963	1852	1775	2024	False
0.31843233312921004	0.6712031669212281	0.4939759036144578	1.0	123	64	89	0.9233373173013996	-0.48552833379418114	63	60	1.447099611725006	1.4088656510955806	1.4279826314102932	0.4878048780487805	0.41830065359477125	0.7333589072129703	2084	1963	2116	2052	2024	2147	True
0.43508879363135333	0.5410589620805466	0.9083333333333333	1.0	120	61	57	0.6287761470825056	-0.5237622944236062	67	53	2.1301531298441656	1.152538441506112	1.6413457856751388	0.44166666666666665	0.5169491525423728	0.8413646292363699	2200	2116	2234	2173	2147	2267	True
0.3113900796080833	0.5605552509368827	0.9083333333333333	1.0	109	55	62	0.31396164548355	-1.50137698276166	49	60	1.0175976002914102	1.8153386282452102	1.4164681142683102	0.5504587155963303	0.4700854700854701	0.7506508298414568	2327	2234	2351	2296	2267	2376	True
0.19748928352725045	0.7905508011970712	0.8043478260869565	1.0	111	56	51	0.447232136491264	-0.7036359548078603	57	54	1.214709205825637	1.1508680912991243	1.1827886485623806	0.4864864864864865	0.5233644859813084	0.5673456583199104	2430	2351	2458	2402	2376	2487	True
0.32424984690753217	0.7905508011970712	0.8043478260869565	1.0	138	72	60	0.769058222244985	-0.7674770693343731	72	66	1.3545240049638578	1.5365352915793582	1.445529648271608	0.4782608695652174	0.5454545454545454	0.7388188503470182	2553	2458	2590	2518	2487	2625	True
0.33772198407838333	0.4870341649850125	0.8188405797101449	1.0	113	54	65	0.9968271140053169	-0.5854657827188728	55	58	1.3643409835558256	1.5822928967241898	1.4733169401400077	0.5132743362831859	0.453781512605042	0.670714813914863	2683	2590	2709	2655	2625	2738	True
0.1855480710349051	0.40620858882735245	0.9557522123893806	1.0	108	56	51	0.29696680213043364	-0.3675138695505086	63	45	1.6358114770521532	0.6644806716809422	1.1501460743665477	0.4166666666666667	0.5233644859813084	0.6781427720926535	2783	2709	2816	2760	2738	2846	True
0.4840783833435395	0.4458954158707453	0.8476190476190476	1.0	105	52	60	1.0426391581326653	-1.3388446749217195	44	61	1.0618927241292415	2.381483833054385	1.721688278591813	0.580952380952381	0.4642857142857143	0.8728866980546967	2907	2816	2928	2876	2846	2951	True
0.131047152480098	0.8520784650866813	0.8476190476190476	1.0	89	44	45	0.9893991611094378	-0.01925356599657613	44	45	0.9466484517692979	1.008652727106014	0.9776505894376559	0.5056179775280899	0.4943820224719101	0.3298245970875399	2996	2928	3017	2973	2951	3040	True
0.4745866503368034	0.482245024183273	0.8512396694214877	1.0	103	51	45	1.1537381248864254	0.04275070934013986	58	45	2.3037820191672203	1.1109874155462856	1.707384717356753	0.4368932038834951	0.53125	0.8140728448094979	3085	3017	3113	3062	3040	3143	True
0.647887323943662	0.8843085100226435	0.8512396694214877	1.0	121	63	57	0.8872101505059267	-1.150043894280795	63	58	2.067209284098314	2.037254044786722	2.052231664442518	0.4793388429752066	0.525	1.111411844792286	3201	3113	3233	3170	3143	3264	True
0.6558481322718922	0.6737428960294024	0.6333333333333333	1.0	120	59	62	0.9119209054674351	-1.179999133592387	58	62	2.05973949591665	2.091920039059822	2.075829767488236	0.5166666666666667	0.48760330578512395	0.9796448135558452	3326	3233	3354	3295	3264	3384	True
0.224739742804654	0.6737428960294024	0.6333333333333333	1.0	76	33	45	0.2399162625958105	-1.1478185904492149	45	31	1.103683025403005	1.3877348530450253	1.245708939224015	0.40789473684210525	0.4230769230769231	0.32572424330236727	3415	3354	3432	3399	3384	3460	True
0.3481322718922229	0.7762554731955801	0.7676767676767676	1.0	99	50	50	0.4445975608354661	-0.8637667628071946	51	48	1.6854816085953885	1.3083643236426608	1.4969229661190246	0.48484848484848486	0.5	0.789303626054849	3508	3432	3532	3482	3460	3559	True
0.21524800979791794	0.25549237100760896	0.9090909090909091	1.0	90	45	53	0.7034837688816786	-1.2408840477599223	35	55	0.4967711435846505	1.944367816641601	1.2205694801131257	0.6111111111111112	0.45918367346938777	0.5743278892967173	3614	3532	3630	3585	3559	3649	True
0.0762400489895897	0.6634526030298287	0.9444444444444444	1.0	85	42	41	0.9554792158809162	0.2067126252970281	42	43	0.6708255433829803	0.7487665905838881	0.7097960669834342	0.5058823529411764	0.5060240963855421	0.1785368039044714	3692	3630	3713	3671	3649	3734	False
0.11206368646662584	0.35407756752284053	0.9239130434782609	1.0	85	43	38	0.7601177511890391	0.28465367249793594	50	35	1.34282463025685	0.4754640786911032	0.9091443544739766	0.4117647058823529	0.5308641975308642	0.3415002235280606	3769	3713	3794	3751	3734	3819	True
0.2400489895897122	0.8925877021909396	0.9239130434782609	1.0	92	46	47	0.6453745674323987	-0.5827068790678109	47	45	1.3338969101285967	1.2280814465002097	1.2809891783144032	0.4891304347826087	0.4946236559139785	0.579409805779389	3864	3794	3887	3841	3819	3911	True
0.1981016533986528	0.8925877021909396	0.9789473684210527	1.0	93	46	47	0.5020976352750806	-0.688522342696198	47	46	1.178813088840723	1.1906199779712785	1.1847165334060006	0.4946236559139785	0.4946236559139785	0.5117687900998991	3957	3887	3980	3934	3911	4004	True
0.30832823025107164	0.674508789972	0.9473684210526315	1.0	95	48	46	0.46192185415441767	-0.6767154535656423	50	45	1.6880985461543454	1.13863730772006	1.4133679269372026	0.47368421052631576	0.5106382978723404	0.6983981532780213	4049	3980	4074	4026	4004	4099	True
0.23759951010410288	0.5189893346059362	0.8035714285714286	1.0	90	45	49	0.38715177581395555	-1.2261766919999277	41	49	0.9367571111450569	1.6133284678138833	1.27504278947947	0.5444444444444444	0.4787234042553192	0.590030361619363	4148	4074	4168	4123	4099	4189	True
0.5021432945499081	0.39758569435510016	0.7232142857142857	1.0	112	54	48	1.2553587529123071	-0.5496053353311013	58	54	1.7192348411034657	1.8049640882434086	1.7620994646734371	0.48214285714285715	0.5294117647058824	0.844871157095462	4243	4168	4270	4216	4189	4301	True
0.05848132271892223	0.39758569435510016	0.7232142857142857	1.0	81	42	51	0.21966708986844313	-0.46387608819115855	38	43	0.5160988721629771	0.6835431780596017	0.5998210251112894	0.5308641975308642	0.45161290322580644	0.2901284038293793	4344	4270	4363	4321	4301	4382	False
0.19902020820575628	0.5037843208722211	0.8804347826086957	1.0	92	46	42	0.7280123116967901	-0.29643178229453404	47	45	1.3535453727487137	1.0244440939913242	1.188994733370019	0.4891304347826087	0.5227272727272727	0.550969292343695	4427	4363	4451	4405	4382	4474	True
0.20483772198407837	0.9004943672870249	0.8712871287128713	1.0	88	44	44	0.5933269229757097	-0.6255330610519235	44	44	1.1882475366152616	1.2188599840276333	1.2035537603214475	0.5	0.5	0.41048428476204263	4518	4451	4539	4495	4474	4562	True
0.3643600734843846	0.6226791267457588	0.5804597701149425	1.0	101	49	44	0.5720027364968435	-0.594920613639552	57	44	1.874036401757936	1.1669233501363956	1.5204798759471658	0.43564356435643564	0.5268817204301075	0.74056627422675	4606	4539	4632	4583	4562	4663	True
0.45162278015921614	0.5430002135833115	0.5114942528735632	0.964	174	62	118	0.8638130968755791	-1.3020336652610927	49	125	1.1760552544289364	2.1658467621366717	1.670951008282804	0.7183908045977011	0.34444444444444444	0.5670388640579995	4788	4632	4812	4750	4663	4837	True
0.10287813839559094	0.572062110487295	0.5114942528735632	1.0	89	45	47	0.6146625548494091	-0.3122421575533575	43	46	0.790096059786026	0.9269047124027666	0.8585003860943963	0.5168539325842697	0.4891304347826087	0.3593298419705027	4883	4812	4904	4859	4837	4926	True
0.3897734231475811	0.572062110487295	0.8165137614678899	1.0	109	54	47	1.2057033424469739	-0.17543350493661697	57	52	1.7404296004277713	1.3811368473835908	1.560783223905681	0.47706422018348627	0.5346534653465347	0.7941144602380765	4978	4904	5005	4951	4926	5035	True
0.31322718922229026	0.8256494285591098	0.9357798165137615	1.0	102	51	56	0.9022584470597517	-0.5347262579807975	50	52	1.4020697873081533	1.4369847050405493	1.4195272461743513	0.5098039215686274	0.4766355140186916	0.7328983143668258	5087	5005	5112	5061	5035	5137	True
0.4797917942437232	0.672921984667665	0.9807692307692307	1.0	104	51	51	1.1180798549550666	-0.4998113402484016	53	51	1.8115954748822765	1.6178911952034682	1.7147433350428725	0.49038461538461536	0.5	0.7789514877744573	5188	5112	5214	5163	5137	5241	True
0.5058175137783221	0.5269514726874027	0.8962264150943396	1.0	106	54	50	0.5255468024455325	-0.6935156199272099	59	47	2.313424452835551	1.2190624223727424	1.766243437604147	0.44339622641509435	0.5192307692307693	0.9186810190334188	5288	5214	5318	5264	5241	5347	True
0.3077158603796693	0.5488621570843862	0.6690140845070423	1.0	95	47	54	-0.150549834164519	-1.7878776503900187	44	51	1.1886312747633236	1.6373278162254996	1.4129795454944116	0.5368421052631579	0.46534653465346537	0.7104869409223739	5398	5318	5419	5372	5347	5442	True
